class,gender,age,living,type_living,rooms,education,salary,family_status,kids,religion,believe,important,left_right
Likud,Man,25,Center,City,4,Graduate High school,5K-10K,Single,0,Jewish,secular,Economy,80
Merets,Woman,25,Center,City,5,First degree,less then 5K,Single,0,Jewish,secular,Health,30
Tikva Hadasha,Man,60,Center,City,4,Graduate High school,10K-15K,Married,3,Jewish,secular,Health,50
Haavoda,Woman,26,Tel Aviv,City,3,First degree,less then 5K,Single,0,Jewish,secular,Social equality,40
Haavoda,Woman,24,Center,City,4,Graduate High school,less then 5K,Single,0,Jewish,secular,Social equality,40
Other,Woman,23,South,City,3,High school,Unemployed,Single,0,Jewish,atheist,Economy,40
Haavoda,Man,25,Center,City,10,High school,25K+,Single,0,Jewish,atheist,Economy,15
Haavoda,Woman,24,Center,City,2,First degree,less then 5K,Single,0,Jewish,secular,Social equality,40
Tikva Hadasha,Man,26,South,City,5,First degree,Unemployed,Single,0,Jewish,atheist,Economy,65
Likud,Man,22,Center,Yeshuv,6,High school,5K-10K,Single,0,Jewish,secular,Security,70
Other,Woman,25,Haifa,City,5,High school,10K-15K,Single,0,Jewish,secular,Social equality,30
Yesh Atid,Man,22,Center,Yeshuv,5,High school,less then 5K,Single,0,Jewish,atheist,Social equality,50
Other,Man,24,Haifa,City,4,First degree,Unemployed,Single,0,Jewish,secular,Culture,50
Merets,Woman,25,Center,City,5,First degree,less then 5K,Single,0,Jewish,secular,Health,30
Haavoda,Man,23,Tel Aviv,City,8,First degree,Unemployed,Single,0,Jewish,observant,Social equality,20
Haavoda,Woman,22,Tel Aviv,City,3,High school,Unemployed,Single,0,Jewish,atheist,Social equality,20
Likud,Man,26,South,Moshav,2,Other,10K-15K,Married,0,Jewish,observant,Health,65
Tikva Hadasha,Man,24,Out of Israel,Other,1,Graduate High school,15K-20K,Single,0,Jewish,secular,Economy,40
Tikva Hadasha,Man,24,Center,Yeshuv,5,High school,5K-10K,Single,0,Jewish,secular,Social equality,35
Yesh Atid,Man,23,Center,Moshav,4,First degree,less then 5K,Single,0,Jewish,secular,Economy,40
Tikva Hadasha,Man,24,Center,Yeshuv,5,High school,5K-10K,Single,0,Jewish,secular,Social equality,35
Israel Beitenu,Man,24,Center,Yeshuv,5,High school,10K-15K,Single,0,Jewish,atheist,Security,75
Haavoda,Woman,25,Center,City,5,First degree,less then 5K,Single,0,Jewish,secular,Economy,50
Yesh Atid,Man,24,Tel Aviv,City,5,High school,10K-15K,Single,0,Jewish,secular,Economy,70
Israel Beitenu,Man,24,Center,Yeshuv,5,High school,10K-15K,Single,0,Jewish,atheist,Security,75
Yesh Atid,Woman,50,Tel Aviv,City,4,First degree,15K-20K,Married,3,Jewish,secular,Economy,40
Other,Man,24,Center,City,4,Graduate High school,Unemployed,Single,0,Jewish,secular,Economy,40
Yesh Atid,Woman,54,Tel Aviv,City,5,Graduate High school,20K-25K,Married,3,Jewish,secular,Social equality,50
Other,Man,24,Center,City,5,High school,5K-10K,Single,0,Jewish,secular,Social equality,50
Likud,Man,29,Center,City,6,First degree,20K-25K,Other,0,Jewish,secular,Economy,50
Yamina,Man,25,Tel Aviv,City,4,Other,less then 5K,Single,0,Jewish,secular,Economy,0
Hatsionut Hadatit,Man,26,Tel Aviv,City,6,High school,less then 5K,Single,0,Jewish,religious,Economy,88
Yesh Atid,Man,23,Tel Aviv,City,6,Graduate High school,Unemployed,Single,0,Jewish,atheist,Economy,45
Yesh Atid,Woman,34,North,City,4,Third degree and above,15K-20K,Married,3,Jewish,secular,Health,10
Yesh Atid,Man,28,Center,City,3,First degree,5K-10K,Single,0,Jewish,secular,Economy,50
Kahol Lavan,Man,26,Center,Yeshuv,7,High school,less then 5K,Single,0,Jewish,secular,Social equality,50
Tikva Hadasha,Man,26,Center,City,4,First degree,5K-10K,Single,0,Jewish,secular,Economy,60
Merets,Woman,23,Center,City,6,High school,Unemployed,Single,0,Jewish,atheist,Social equality,15
Likud,Man,26,South,Moshav,2,Other,10K-15K,Married,0,Jewish,observant,Health,65
Kahol Lavan,Woman,24,Center,Yeshuv,5,High school,less then 5K,Single,0,Jewish,secular,Security,50
Likud,Woman,24,Center,City,5,First degree,Unemployed,Single,0,Jewish,observant,Health,80
Merets,Man,56,Tel Aviv,City,5,First degree,20K-25K,Married,3,Jewish,secular,Social equality,35
Yamina,Man,21,Yehuda Ve Shomron,Yeshuv,3,Graduate High school,less then 5K,Single,0,Jewish,secular,Health,50
Israel Beitenu,Man,27,Center,City,3,Other,5K-10K,Single,0,Jewish,secular,Social equality,80
Likud,Woman,24,Center,City,5,First degree,Unemployed,Single,0,Jewish,observant,Health,80
Tikva Hadasha,Woman,50,Center,City,3,High school,10K-15K,Divorced,1,Jewish,secular,Health,50
Tikva Hadasha,Woman,22,Center,Yeshuv,4,High school,5K-10K,Single,0,Jewish,secular,Social equality,60
Other,Woman,20,Yehuda Ve Shomron,Yeshuv,8,Graduate High school,5K-10K,Single,0,Jewish,secular,Security,100
Likud,Woman,21,Center,City,2,Graduate High school,5K-10K,Single,0,Jewish,observant,Security,99
Yamina,Woman,23,Center,City,5,Graduate High school,Unemployed,Single,0,Jewish,observant,Security,90
Merets,Woman,22,Center,City,5,High school,5K-10K,Single,0,Jewish,atheist,Health,20
Likud,Woman,22,Center,City,5,High school,less then 5K,Single,0,Jewish,observant,Security,90
Merets,Woman,22,Tel Aviv,City,5,Graduate High school,5K-10K,Single,0,Jewish,atheist,Health,35
Kahol Lavan,Woman,20,Center,City,5,High school,less then 5K,Single,0,Jewish,secular,Economy,60
Other,Man,22,Jerusalem,Yeshuv,4,High school,5K-10K,Single,0,Jewish,atheist,Culture,50
Other,Man,21,Yehuda Ve Shomron,City,5,High school,5K-10K,Single,0,Jewish,secular,Security,67
Likud,Woman,25,North,Yeshuv,5,Graduate High school,5K-10K,Divorced,2,Jewish,observant,Security,80
Haavoda,Woman,21,Haifa,Yeshuv,5,Graduate High school,Unemployed,Single,0,Jewish,secular,Social equality,50
Tikva Hadasha,Woman,21,Center,City,5,High school,10K-15K,Single,0,Jewish,secular,Security,80
Yesh Atid,Woman,20,North,City,5,High school,less then 5K,Single,0,Jewish,observant,Economy,60
Likud,Woman,30,South,City,4,High school,less then 5K,Divorced,2,Jewish,secular,Economy,70
Yahadut Hatora,Man,24,Center,City,6,Graduate High school,10K-15K,Single,0,Jewish,observant,Security,70
Likud,Woman,21,Center,City,2,Graduate High school,5K-10K,Single,0,Jewish,observant,Security,99
Other,Woman,25,Center,City,2,High school,5K-10K,Single,0,Jewish,observant,Social equality,80
Haavoda,Woman,21,Haifa,Yeshuv,5,Graduate High school,Unemployed,Single,0,Jewish,secular,Social equality,50
Kahol Lavan,Woman,22,Center,City,6,High school,Unemployed,Single,0,Jewish,secular,Security,40
Kahol Lavan,Woman,21,Tel Aviv,City,4,First degree,Unemployed,Single,0,Jewish,secular,Economy,30
Other,Woman,20,Yehuda Ve Shomron,Yeshuv,8,Graduate High school,5K-10K,Single,0,Jewish,secular,Security,100
Likud,Woman,25,North,Yeshuv,5,Graduate High school,5K-10K,Divorced,2,Jewish,observant,Security,80
Likud,Man,23,Jerusalem,Yeshuv,5,High school,25K+,Single,0,Jewish,observant,Security,85
Other,Man,21,Center,City,5,None,5K-10K,Single,0,Jewish,Other,Economy,70
Merets,Woman,22,Tel Aviv,City,5,Graduate High school,5K-10K,Single,0,Jewish,atheist,Health,35
Yamina,Man,21,Yehuda Ve Shomron,Yeshuv,4,High school,Unemployed,Single,0,Jewish,atheist,Security,75
Yesh Atid,Woman,23,Haifa,City,4,High school,less then 5K,Single,0,Jewish,secular,Economy,50
Haavoda,Man,22,Tel Aviv,City,4,High school,Unemployed,Single,0,Jewish,observant,Social equality,30
Likud,Woman,28,Center,City,4,First degree,5K-10K,Single,0,Jewish,observant,Security,70
Israel Beitenu,Man,63,Center,City,4,Graduate High school,10K-15K,Married,2,Jewish,secular,Health,50
Yesh Atid,Woman,20,North,City,5,High school,less then 5K,Single,0,Jewish,observant,Economy,60
Kahol Lavan,Woman,22,Center,City,6,High school,Unemployed,Single,0,Jewish,secular,Security,40
Yesh Atid,Man,28,Center,City,4,First degree,10K-15K,Single,0,Jewish,atheist,Economy,50
Yesh Atid,Man,61,Tel Aviv,City,8,Second degree,25K+,Married,4,Jewish,secular,Health,60
Yesh Atid,Man,21,Center,City,4,High school,10K-15K,Single,0,Jewish,secular,Economy,60
Yesh Atid,Man,21,Center,City,6,Graduate High school,5K-10K,Single,0,Jewish,secular,Economy,30
Merets,Other,21,Center,City,3,High school,5K-10K,Other,0,Jewish,atheist,Social equality,40
Likud,Man,30,Center,City,4,First degree,Unemployed,Single,0,Jewish,secular,Security,70
Other,Man,23,Center,City,6,High school,5K-10K,Single,0,Jewish,secular,Economy,60
Hakalkalit Hahadasha,Woman,35,Center,City,4,First degree,10K-15K,Married,2,Jewish,secular,Economy,30
Kahol Lavan,Man,29,Center,Moshav,3,First degree,5K-10K,Single,0,Jewish,secular,Economy,50
Other,Woman,41,Center,Yeshuv,6,Third degree and above,20K-25K,Single,2,Jewish,secular,Health,80
Likud,Man,54,Center,City,4,Second degree,20K-25K,Divorced,2,Jewish,secular,Security,80
Israel Beitenu,Woman,36,Center,City,5,First degree,10K-15K,Married,1,Jewish,secular,Health,70
Yesh Atid,Woman,39,Center,City,4,First degree,5K-10K,Married,3,Jewish,secular,Economy,50
Yamina,Woman,40,Center,City,5,First degree,15K-20K,Married,4,Jewish,religious,Economy,60
Yamina,Man,25,Center,Moshav,6,High school,Unemployed,Married,1,Jewish,religious,Economy,75
Tikva Hadasha,Woman,73,Tel Aviv,City,3,First degree,10K-15K,Single,0,Jewish,atheist,Health,70
Haavoda,Woman,25,Haifa,City,2,Other,5K-10K,Other,0,Jewish,secular,Health,40
Other,Woman,25,Center,City,2,High school,5K-10K,Single,0,Jewish,observant,Social equality,80
Likud,Man,23,Jerusalem,Yeshuv,5,High school,25K+,Single,0,Jewish,observant,Security,85
Yesh Atid,Woman,34,North,City,4,Third degree and above,15K-20K,Married,3,Jewish,secular,Health,10
Yesh Atid,Woman,33,Center,Yeshuv,4,High school,less then 5K,Single,0,Jewish,secular,Social equality,0
Tikva Hadasha,Woman,28,Center,Moshav,5,First degree,Unemployed,Single,0,Jewish,secular,Social equality,50
Israel Beitenu,Woman,24,Center,City,5,Graduate High school,Unemployed,Single,0,Jewish,secular,Security,85
Merets,Man,34,Tel Aviv,Yeshuv,2,Graduate High school,25K+,Single,0,Jewish,atheist,Social equality,20
Tikva Hadasha,Woman,25,South,City,3,First degree,less then 5K,Single,0,Jewish,secular,Health,60
Yesh Atid,Woman,27,Center,City,5,First degree,Unemployed,Single,0,Jewish,secular,Economy,50
Israel Beitenu,Woman,24,Center,City,5,Graduate High school,Unemployed,Single,0,Jewish,secular,Security,85
Likud,Man,48,Haifa,Kefar,4,Second degree,10K-15K,Married,4,Muslim,observant,Social equality,50
Kahol Lavan,Woman,23,North,Kefar,4,First degree,less then 5K,Married,0,Druze,secular,Health,30
Hatsionut Hadatit,Man,39,Center,City,3,Second degree,20K-25K,Single,0,Jewish,observant,Security,100
Merets,Woman,26,South,City,3,First degree,5K-10K,Married,3,Muslim,religious,Health,10
Hareshima Hameshutefet,Woman,49,Haifa,Kefar,3,Graduate High school,less then 5K,Widowed,3,Muslim,Very religious,Social equality,0
Hareshima Hameshutefet,Woman,40,South,City,3,First degree,5K-10K,Married,6,Muslim,religious,Economy,60
Hareshima Hameshutefet,Woman,33,South,City,4,First degree,5K-10K,Married,2,Muslim,religious,Social equality,0
Other,Woman,44,South,City,2,Second degree,5K-10K,Married,2,Muslim,observant,Security,50
Likud,Man,31,North,Moshav,4,First degree,10K-15K,Single,0,Jewish,religious,Economy,60
Hareshima Hameshutefet,Woman,31,Haifa,Kefar,4,First degree,less then 5K,Married,4,Muslim,Other,Culture,10
Kahol Lavan,Woman,23,North,Kefar,4,First degree,less then 5K,Married,0,Druze,secular,Health,30
Hareshima Hameshutefet,Woman,55,Haifa,Kefar,5,First degree,5K-10K,Married,4,Muslim,religious,Social equality,50
Hareshima Hameshutefet,Woman,57,Center,Kefar,7,Second degree,10K-15K,Married,4,Muslim,religious,Economy,0
Likud,Woman,34,North,Kefar,6,Graduate High school,less then 5K,Married,3,Druze,observant,Health,100
Hareshima Hameshutefet,Man,50,North,Kefar,4,First degree,5K-10K,Married,4,Muslim,observant,Economy,50
Other,Woman,48,Center,Kefar,3,First degree,5K-10K,Married,4,Muslim,religious,Health,20
Hareshima Hameshutefet,Woman,50,South,Kefar,8,First degree,5K-10K,Married,5,Muslim,religious,Health,50
Likud,Woman,27,South,City,7,First degree,less then 5K,Single,0,Muslim,observant,Health,50
Other,Woman,45,South,City,4,Second degree,5K-10K,Divorced,3,Muslim,observant,Health,0
Other,Woman,26,South,City,2,First degree,less then 5K,Married,2,Muslim,religious,Social equality,50
Hareshima Hameshutefet,Woman,33,North,Kefar,7,Second degree,5K-10K,Married,3,Muslim,observant,Health,46
Hareshima Hameshutefet,Woman,34,Haifa,City,8,Second degree,5K-10K,Married,2,Muslim,religious,Security,10
Hareshima Hameshutefet,Woman,39,Haifa,Kefar,8,Second degree,10K-15K,Married,3,Muslim,religious,Culture,50
Hareshima Hameshutefet,Woman,35,South,Yeshuv,4,First degree,5K-10K,Married,2,Muslim,religious,Health,50
Hareshima Hameshutefet,Woman,36,South,City,3,Second degree,5K-10K,Married,1,Muslim,observant,Security,0
Other,Woman,27,South,Yeshuv,2,First degree,5K-10K,Married,3,Muslim,religious,Security,0
Hareshima Hameshutefet,Woman,27,South,City,4,Second degree,5K-10K,Married,2,Muslim,religious,Health,50
Hareshima Hameshutefet,Woman,27,South,City,4,Second degree,5K-10K,Married,2,Muslim,religious,Health,50
Yesh Atid,Woman,23,Haifa,City,4,High school,less then 5K,Single,0,Jewish,secular,Economy,50
Hareshima Hameshutefet,Woman,34,Center,Yeshuv,3,Second degree,5K-10K,Married,5,Muslim,religious,Culture,40
Hareshima Hameshutefet,Man,66,North,Kefar,4,First degree,10K-15K,Married,4,Muslim,religious,Health,45
Hareshima Hameshutefet,Woman,44,Haifa,Kefar,8,Second degree,5K-10K,Married,5,Muslim,religious,Health,80
Likud,Woman,24,Center,City,5,First degree,Unemployed,Single,0,Jewish,observant,Health,80
Yesh Atid,Man,60,Tel Aviv,City,5,Second degree,25K+,Married,3,Jewish,secular,Economy,50
Haavoda,Woman,26,Tel Aviv,City,3,First degree,less then 5K,Single,0,Jewish,secular,Social equality,40
Israel Beitenu,Woman,35,Center,City,3,Second degree,10K-15K,Married,2,Jewish,secular,Health,70
Yesh Atid,Man,29,Tel Aviv,City,2,First degree,less then 5K,Single,0,Jewish,atheist,Economy,40
